"","WT1","WT2","WT3","muMT1","muMT2"
"Ube2e1",767,1209,1252,862,1189
"Gm22350",0,0,0,0,0
"Gm6781",3,5,2,1,2
"Gm4939",1,0,2,0,3
"Ube2e2",1118,1741,1752,1329,1837
"Gm22499",0,0,0,0,0
"Gm15916",0,0,0,0,0
"Gm6785",0,2,1,1,0
"Gm3778",0,0,0,0,0
"Gm34440",0,0,0,0,0
"Gm48781",0,0,0,0,0
"Gm48782",0,0,0,0,0
"Gm18275",0,0,0,0,0
"Gm7089",0,0,0,0,0
"Gm48785",0,0,0,0,0
"Gm8582",1,0,1,0,0
"Gm8584",1,0,1,0,0
"Gm48098",0,0,0,0,0
"Gm48099",0,0,0,0,0
"Gm6122",0,0,0,0,0
"Gm33022",0,0,0,0,0
"Gm5630",0,0,0,0,0
"Gm9637",0,0,0,0,0
"Gm21738",0,0,0,0,0
"Gm36704",0,0,0,0,0
"Gm48105",0,0,0,0,0
"Gm7352",0,0,0,0,0
"Gm18577",0,0,0,0,0
"Gm2244",0,0,0,0,0
"Gm2237",10,23,29,20,15
"Gm5458",0,1,3,2,0
"Gm41102",0,0,0,0,0
"4930469B13Rik",0,0,0,0,0
"AC174797.1",0,0,0,0,0
"Gm48157",0,0,0,0,0
"Gm17030",0,3,1,0,0
"Gm7371",0,0,0,0,0
"Gm49341",0,0,0,0,0
"Nid2",57,158,239,94,135
"Rtraf",1598,2433,2503,2124,2522
"D14Ertd670e",0,0,0,1,0
"Gm48283",1,2,1,0,2
"Gng2",3579,4431,6453,2792,4935
"Gm48339",0,0,1,0,0
"Saysd1",195,327,316,235,290
"Kcnk5",17,25,26,13,20
"Gm48394",0,0,0,0,0
"Gm24912",0,0,0,0,0
"Gm48395",0,0,0,0,0
"Gm2048",0,0,0,0,0
"Kcnk16",0,0,0,0,0
"Nudt13",220,346,394,228,336
"Ecd",750,1122,1284,853,1090
"Fam149b",510,772,832,527,692
"Gm30054",0,4,3,1,4
"Dnajc9",558,881,870,687,922
"Mrps16",509,805,777,693,795
"Cfap70",4,82,81,47,58
"7330404K18Rik",0,0,0,0,1
"Anxa7",1995,2671,3194,1893,2809
"Mss51",8,6,15,1,8
"Ppp3cb",6930,9852,12233,6480,9936
"1810062O18Rik",17,20,22,12,19
"Usp54",963,1198,1575,802,1193
"2810402E24Rik",82,103,111,83,117
"Myoz1",5,8,2,1,4
"Synpo2l",6,11,9,2,5
"Sec24c",1506,1960,2528,1393,2010
"6230400D17Rik",39,46,71,47,52
"Mir6946",0,0,0,0,0
"Fut11",394,507,629,359,505
"Gm25328",1,1,5,4,3
"Chchd1",521,823,804,733,853
"Zswim8",1888,2533,3467,1473,2357
"Ndst2",183,299,382,202,266
"Camk2g",3796,4413,5078,3372,4194
"Gm30108",3,8,4,3,5
"Plau",56,74,89,51,68
"Gm6128",0,0,0,0,0
"Vcl",295,305,460,139,337
"Ap3m1",712,882,1189,642,1000
"Adk",551,701,697,538,656
"Gm26372",0,0,0,0,0
"Gm30363",0,2,1,1,0
"Gm25864",0,0,0,0,0
"Kat6b",720,944,1356,585,850
"Dupd1",4,2,6,2,3
"Dusp13",7,12,26,9,13
"Gm15935",0,0,0,0,0
"Samd8",1584,2278,2867,1410,2180
"Gm23502",0,0,0,0,0
"Vdac2",4220,5775,6325,4442,5903
"Comtd1",85,160,143,128,129
"A430057M04Rik",24,36,43,29,29
"4931407E12Rik",0,0,0,0,0
"Gm37590",0,0,0,0,0
"Zfp503",129,205,189,110,127
"C130012C08Rik",0,11,4,2,2
"Lrmda",1,7,5,4,8
"Gm27532",0,0,0,0,0
"Gm7480",0,0,0,0,0
"4930405A10Rik",0,0,0,0,0
"Gm5670",0,0,0,0,0
"Gm7473",0,0,0,0,0
"Gm47601",0,0,0,0,0
"Gm10248",0,0,2,0,0
"Kcnma1",3449,3724,5381,2230,3510
"Gm46443",0,0,0,0,0
"5430425E15Rik",0,0,0,0,0
"Gm29626",0,0,0,0,0
"4930519K11Rik",16,18,25,11,20
"Gm31392",0,0,0,0,0
"Gm6158",4,2,3,1,9
"Mir7210",0,0,0,0,0
"Dlg5",665,797,1105,437,718
"Gm49098",0,1,0,0,1
"Gm17105",0,0,0,0,0
"Gm19034",0,0,0,0,0
"E330034G19Rik",0,0,0,0,1
"Gm18276",0,0,0,0,0
"Gm47774",0,0,0,0,0
"Gm41109",0,0,0,0,0
"Gm47814",31,64,50,31,40
"Polr3a",477,583,775,411,586
"Rps24",5904,9413,8993,8159,9457
"4930542C16Rik",0,0,0,0,0
"4930428N03Rik",1,0,1,0,1
"Gm47906",0,0,0,0,0
"Gm10398",0,0,0,0,0
"Gm47907",0,0,0,0,0
"Gm38408",1,0,3,1,0
"Gm47909",0,0,0,0,0
"Gm32123",0,0,0,0,1
"Gm32224",4,7,9,6,3
"4930572O13Rik",3,0,0,0,0
"Zmiz1os1",16,9,34,12,27
"Gm26660",38,40,65,46,52
"Gm17747",5,6,10,1,5
"Zmiz1",1719,2006,2631,1308,1906
"Gm47920",4,4,8,2,7
"Gm47921",0,0,0,0,0
"Mir3075",0,0,0,0,0
"Gm26772",0,0,2,0,1
"Ppif",574,868,999,711,822
"Ppifos",0,0,0,0,0
"1700054O19Rik",0,0,0,0,1
"Zcchc24",1656,2315,2694,1646,2358
"Gm27185",0,0,0,0,0
"Gm23701",0,0,0,0,0
"Anxa11",408,720,866,541,831
"Anxa11os",2,0,0,0,0
"Plac9a",0,0,0,0,0
"Tmem254a",0,0,0,0,0
"Cphx1",0,0,0,0,0
"Gm19013",0,0,0,0,0
"Duxbl1",1,0,1,1,5
"Gm2260",0,0,0,0,0
"Gm9780",0,0,0,0,0
"Tmem254c",0,0,0,0,0
"Gm19014",0,0,0,0,0
"Cphx2",0,0,0,0,0
"Cphx3",0,0,0,0,0
"Duxbl2",0,0,0,0,0
"Gm2274",0,0,0,0,0
"Plac9b",0,0,0,0,0
"Tmem254b",0,0,0,0,0
"Gm19015",0,0,0,0,0
"Duxbl3",0,0,0,0,0
"Gm18578",0,0,0,0,0
"Gm34059",0,0,0,0,2
"4933413J09Rik",3,4,1,0,1
"Crb1-ps",0,0,0,0,0
"Slmapos2",0,0,0,0,0
"Slmap",1751,2510,3146,1532,2365
"Gm24031",0,0,0,0,0
"Gm2178",1,0,1,1,0
"Gm18215",0,0,0,0,0
"Gm7565",0,0,0,0,0
"Dennd6a",329,428,556,308,402
"Arf4os",0,0,3,0,1
"Arf4",347,534,599,380,563
"Pde12",25,47,57,44,55
"Mir7672",0,0,0,0,0
"9930004E17Rik",0,0,0,0,0
"Dnah12",2,25,27,10,22
"Asb14",5,13,19,2,18
"Appl1",1647,2108,2773,1387,2186
"Gm41115",1,0,4,1,1
"Hesx1",0,0,0,0,0
"Il17rd",84,146,239,81,155
"Arhgef3",1735,2643,3159,1981,2771
"Gm7591",1,2,2,1,0
"Gm49616",0,0,0,0,0
"Gm23633",0,0,0,0,0
"Fam208a",543,738,1075,404,733
"Ccdc66",175,265,347,186,297
"Gm22485",1,0,0,1,0
"Gm25697",0,0,0,0,0
"Gm7604",0,0,0,0,0
"Erc2",2920,4090,5467,2698,4374
"Gm18398",0,0,0,0,0
"Gm45645",5,5,5,4,5
"Gm20242",0,0,0,0,0
"Wnt5a",237,250,415,179,242
"Gm2670",6,3,5,3,4
"Gm35164",0,0,0,0,0
"Gm18079",0,0,0,0,0
"Gm35217",0,0,0,0,0
"Cacna2d3",830,1102,1436,889,1108
"Gm23999",0,0,0,0,0
"Lrtm1",0,1,0,1,0
"Gm48004",0,0,0,0,0
"Gm6043",0,0,1,0,0
"Gm48006",0,0,0,0,0
"Gm48005",0,0,0,0,0
"Gm48003",1,0,0,0,0
"Gm48058",0,0,0,0,0
"Gm41118",0,0,0,0,0
"Gm35281",0,2,1,0,1
"Gm7633",0,0,0,0,0
"Gm47414",5,5,6,6,10
"Selenok",2042,3270,3167,2293,2894
"Actr8",1009,1501,1741,1075,1455
"Mir6947",0,0,0,0,0
"Il17rb",17,47,43,22,38
"Chdh",90,225,235,97,164
"Gm18760",0,1,0,0,0
"Cacna1d",434,608,869,330,619
"Gm47570",0,0,0,0,0
"Gm18072",0,0,0,0,0
"Gm47576",0,0,0,0,0
"Gm7621",0,0,0,0,0
"Gm18681",0,0,0,0,0
"Dcp1a",393,528,698,350,484
"Tkt",3342,5043,5301,4298,4993
"Mir3076",0,0,0,0,0
"Prkcd",316,1266,725,1089,744
"Gm7644",0,1,1,0,0
"Rft1",159,262,309,209,236
"Sfmbt1",692,1091,1311,655,1014
"1700087M22Rik",0,0,0,0,0
"Gm15667",0,0,1,0,2
"Tmem110",440,683,718,420,602
"Mustn1",33,30,46,26,47
"Itih4",1,3,1,2,3
"Itih3",578,613,761,444,516
"Itih1",0,0,0,0,0
"Nek4",354,493,606,317,503
"Spcs1",1537,2582,2702,2136,2725
"Glt8d1",344,597,688,443,638
"Gnl3",412,622,655,375,543
"Snord69",0,0,0,0,0
"Gm24916",0,0,0,0,0
"Snord19",0,0,0,0,0
"Pbrm1",777,1177,1482,663,1058
"Gm49094",0,0,0,0,0
"Gm5459",0,0,1,0,0
"Smim4",146,231,262,187,245
"Nt5dc2",160,330,380,225,278
"Stab1",326,413,720,267,353
"Nisch",8630,11024,13808,7146,10813
"Tnnc1",27,39,34,31,37
"Sema3g",183,212,323,149,169
"Phf7",60,124,136,89,120
"Bap1",3020,3834,4727,2714,3806
"Dnah1",139,200,295,130,234
"Gm35823",14,25,22,20,21
"Gm49217",0,0,0,0,0
"Gm49791",0,0,0,0,0
"Capn7",894,1299,1618,843,1398
"Sh3bp5",1813,2528,3343,1972,3176
"Gm49252",1,0,0,0,0
"Mettl6",299,525,553,296,423
"Eaf1",340,528,640,345,549
"Gm49270",0,0,0,0,0
"Colq",2,6,7,2,8
"Gm24057",0,0,0,0,0
"Gm49387",0,0,0,0,0
"Hacl1",39,62,55,46,73
"Btd",189,333,420,269,367
"Ankrd28",1003,1428,1904,908,1420
"Gm49308",2,2,3,0,3
"Gm49309",0,0,0,0,0
"Gm22876",0,0,0,0,0
"D830044D21Rik",0,1,2,1,2
"4930425P05Rik",0,0,0,0,0
"Gm26045",0,0,0,0,0
"Galnt15",74,108,154,70,150
"Gm49084",0,0,0,0,0
"Dph3",607,818,937,641,781
"Oxnad1",320,469,529,388,428
"Msmb",0,0,0,0,0
"Gm18909",0,0,0,0,0
"Ncoa4",515,686,940,402,770
"Timm23",323,532,539,366,515
"Gm23946",0,0,1,2,0
"Parg",546,846,1075,578,842
"Gm49196",0,1,0,0,0
"Gm7707",0,2,1,0,0
"Gm17210",4,6,1,1,2
"Gm46447",4,11,9,7,9
"Gm48914",0,0,2,0,1
"Ogdhl",2374,2840,3575,1979,2783
"1700024G13Rik",1,39,20,24,25
"Chat",0,3,2,0,0
"Slc18a3",2,7,2,1,0
"Gm2990",0,2,1,0,0
"Ercc6",433,542,743,342,550
"Gm49743",1,1,0,0,1
"Prrxl1",2,3,0,2,4
"3425401B19Rik",2,6,6,4,4
"Gm28651",0,0,1,1,0
"Tmem273",11,10,8,11,10
"Fam170b",0,1,1,0,0
"Vstm4",87,112,148,64,93
"Gm7734",0,1,1,0,0
"Wdfy4",26,52,56,23,48
"Lrrc18",4,15,19,10,12
"Gm49029",0,0,0,0,0
"Gm25498",0,0,0,0,0
"Gm6340",0,0,0,0,0
"Arhgap22",46,68,44,51,39
"Gm49030",0,0,0,0,0
"Gm15512",1,1,1,0,1
"Mapk8",1849,2348,2968,1367,2109
"Gm49037",0,0,0,0,0
"Gm46448",0,1,0,0,0
"Frmpd2",16,54,71,22,38
"Ptpn20",15,18,25,15,22
"Gm26228",0,0,0,0,0
"Gm49108",0,0,0,0,0
"4930503F20Rik",0,0,0,0,0
"Gdf10",264,275,375,230,321
"Gdf2",0,1,0,0,0
"Rbp3",6,35,9,5,9
"Zfp488",55,63,78,51,54
"Gm30083",0,0,0,0,0
"Gm5460",0,0,0,0,0
"A630023A22Rik",0,0,0,0,0
"Antxrl",0,0,0,0,0
"Gm49129",0,0,0,0,0
"Anxa8",14,34,49,17,25
"Gm24998",0,0,0,0,0
"Gm30556",0,0,0,0,0
"Gm7778",0,0,0,0,0
"Npy4r",0,1,0,0,0
"Rpl23a-ps3",7,4,9,8,9
"Gm18884",0,0,0,0,0
"Gprin2",54,77,106,47,56
"Gm49168",0,0,0,1,0
"Syt15",25,42,44,17,25
"Gm49201",38,55,59,39,52
"Shld2",66,109,137,69,114
"Gm18813",0,1,1,0,0
"Gm49203",0,0,0,0,0
"Gm49202",0,0,0,0,0
"Glud1",6492,8021,9519,5810,7934
"Gm3219",3,6,6,4,7
"Fam25c",0,0,3,1,2
"Sncg",53,188,130,134,135
"Mmrn2",73,111,157,83,122
"Bmpr1a",1265,1537,2221,968,1596
"Gm17110",1,1,2,3,1
"9230112D13Rik",1,0,0,0,0
"Gm48953",0,0,0,0,0
"Ldb3",131,220,232,162,186
"Opn4",1,8,4,4,7
"Gm49012",22,28,35,20,36
"Gm49024",2,4,2,0,4
"Gm49025",2,1,4,0,1
"5830448L01Rik",37,69,63,50,57
"Wapl",1172,1666,2159,1010,1752
"A930038B10Rik",3,0,4,5,1
"Gm49032",0,0,0,0,0
"Grid1",895,1052,1439,699,924
"Mir346",0,0,0,0,0
"Gm49034",0,0,0,0,0
"Gm19016",0,0,0,0,0
"Gm27617",0,0,0,0,1
"4930596D02Rik",0,0,0,0,0
"Gm49039",0,0,0,0,0
"Gm49040",0,0,0,0,0
"Gm46474",0,0,0,0,0
"Gm19129",0,0,0,0,0
"Gm7853",0,0,0,0,0
"4930474N05Rik",0,0,0,0,0
"Gm48663",0,0,0,0,0
"Gm24394",0,0,0,0,0
"Gm17940",0,0,0,0,0
"Gm25204",0,0,0,0,0
"n-R5s46",0,0,0,0,0
"Ccser2",1719,2122,2968,1395,2209
"Gm47885",1,0,4,0,0
"Rgr",0,1,0,1,1
"Lrit1",0,1,0,2,1
"Lrit2",0,1,0,0,1
"Cdhr1",140,170,199,173,148
"2610528A11Rik",3,6,7,6,11
"Ghitm",8759,12800,15265,8992,13075
"Gm18834",0,0,0,0,0
"Gm22469",0,0,0,0,0
"Gm23909",0,0,0,0,0
"Gm47971",0,0,0,0,0
"Gm31393",0,0,0,0,0
"Gm5203",0,0,0,0,0
"Gm5204",0,0,0,0,0
"Gm47974",0,0,0,0,0
"Gm18523",0,0,0,0,0
"Gm31456",0,0,0,0,0
"Nrg3",691,911,1194,535,868
"Gm20641",0,0,0,0,0
"Nrg3os",1,0,1,0,2
"Gm27332",0,0,0,0,0
"Gm20642",0,0,0,0,0
"1700109I08Rik",0,0,0,0,0
"Gm35389",0,0,0,0,0
"Eif1-ps1",1,1,4,2,2
"Gm25012",0,0,0,0,0
"Gm22191",0,0,0,0,0
"Gm4817",0,0,1,0,0
"Gm22726",0,0,0,0,0
"Gm48028",0,0,0,0,0
"Gm24388",0,0,0,0,0
"Gm2791",0,0,1,0,0
"Gm5205",0,1,0,0,0
"Gm48040",0,0,0,0,0
"Sh2d4b",1,2,6,2,1
"Tspan14",576,756,901,501,770
"Fam213a",2799,4084,4616,2937,4253
"Dydc2",4,20,16,10,9
"Gm47547",0,1,2,0,1
"Dydc1",0,5,7,1,4
"Mat1a",5,1,3,3,0
"Sftpa1",0,0,0,0,0
"Gm7920",0,0,0,0,0
"Mbl1",0,0,0,0,0
"Sftpd",0,0,0,0,0
"Gm47114",0,0,0,0,0
"Gm7925",0,0,0,0,0
"Gm22823",0,0,0,1,1
"Gm2832",0,0,0,0,0
"Gm9671",0,0,0,0,0
"Gm5798",0,0,0,0,0
"Gm2855",0,0,0,0,0
"Gm7945",0,0,0,0,0
"Gm6482",0,0,0,0,0
"Gm7953",0,0,0,0,0
"Gm7954",0,0,0,0,0
"Gm2878",0,0,0,0,0
"Gm3486",0,0,0,0,0
"Gm6490",0,0,0,0,0
"Gm17061",0,0,0,0,0
"Gm7970",0,0,0,0,0
"1700049E17Rik2",0,0,0,0,0
"Gm17159",0,0,0,0,0
"Gm3072",0,0,0,0,0
"Gm3077",0,0,0,0,0
"Gm3676",0,0,0,0,0
"Gm8065",0,0,0,0,0
"Gm8068",0,0,0,0,0
"Gm7929",0,0,0,0,0
"Gm47189",0,0,0,0,0
"Gm17062",0,0,0,0,0
"Gm7980",0,0,0,0,0
"1700049E17Rik1",0,0,0,0,0
"1700024B05Rik",0,0,0,0,0
"Gm9890",0,0,0,0,0
"Gm6401",0,0,0,0,0
"Gm3543",0,0,0,0,0
"Gm17063",0,0,0,0,0
"Gm2930",0,0,0,0,0
"Gm7991",0,0,0,0,0
"1700091H14Rik",0,0,0,0,0
"Gm7951",0,0,0,0,0
"Gm17064",0,0,0,0,0
"Gm17027",0,0,0,0,0
"Gm17166",0,0,0,0,0
"Gm3573",0,0,0,0,0
"Gm17165",0,0,0,0,0
"Gm17038",0,0,0,0,0
"Gm17026",1,0,0,0,0
"Gm25208",0,0,0,0,0
"Gm25892",0,0,0,0,0
"Gm9611",0,0,0,0,0
"Gm7995",0,0,0,0,0
"Gm17164",0,0,0,0,0
"Gm2951",0,0,0,0,0
"Gm2959",0,0,0,0,0
"Gm8005",0,0,0,0,0
"Gm49360",0,0,0,0,0
"Gm8011",0,0,0,0,0
"Gm2966",0,0,0,0,0
"Gm8020",0,0,0,0,0
"Gm8024",0,0,0,0,0
"Gm48134",0,0,0,0,0
"Gm8032",0,0,0,0,0
"Gm17204",0,0,0,0,0
"Gm17124",0,0,0,0,0
"Gm25228",0,0,0,0,0
"Gm23620",0,0,0,0,0
"Gm3633",0,0,0,0,0
"Gm10378",0,0,0,0,0
"Gm17162",0,0,0,0,0
"Gm5929",0,0,0,0,0
"Gm3008",0,0,0,0,0
"Gm17161",0,0,0,0,0
"Gm3015",0,0,0,0,0
"Gm3025",0,0,0,0,0
"Gm10377",0,0,0,0,0
"Gm7152",0,0,0,0,0
"Gm21977",0,0,0,0,0
"Gm48217",0,0,0,0,0
"Gm3102",0,0,0,0,0
"Gm8082",0,0,0,0,0
"Gm3111",0,0,0,0,0
"Gm10376",0,0,0,0,0
"Gm6536",0,0,1,0,0
"Gm3123",0,0,0,0,0
"Gm8094",0,0,0,0,0
"AC133517.1",0,0,0,0,0
"Gm8104",4,2,1,0,0
"Cdv3-ps",0,2,3,0,2
"Gm49135",0,0,0,0,0
"Gm8114",0,0,0,0,0
"Gm3141",0,0,0,0,0
"Gm49141",0,0,0,0,0
"Gm7233",0,0,1,1,0
"Gm7316",0,0,0,0,0
"Gm8122",0,0,0,0,0
"Gm49146",0,0,0,0,0
"Gm8126",0,0,0,0,0
"Gm9732",0,1,0,0,0
"Gm17153",0,0,0,0,0
"Gm8127",0,0,0,0,0
"Gm17155",0,0,0,0,0
"Gm17154",0,0,0,0,0
"1700001F09Rik",0,0,0,0,0
"Gm9597",0,0,0,0,1
"Gm49315",0,0,0,0,0
"Gm8138",0,0,0,0,0
"Gm49072",0,0,0,0,0
"Gm21162",0,0,0,0,0
"Gm5799",0,0,0,0,0
"Gm3216",0,0,0,0,0
"Gm17654",0,0,0,0,0
"Gm3221",0,0,0,0,0
"Gm10375",0,0,0,0,0
"Gm8046",0,0,0,0,0
"Gm21154",0,0,0,0,0
"Gm8161",0,0,0,0,0
"Gm8165",0,0,0,0,0
"Gm7324",1,1,3,0,3
"Gm9672",0,0,0,0,0
"Gm17208",0,0,0,0,0
"Gm16506",0,0,0,0,0
"Gm49078",0,0,0,0,0
"Gm49080",0,0,0,0,0
"Gm6526",0,0,0,0,0
"AC154806.1",0,0,0,0,0
"Gm9587",0,0,0,0,0
"Gm8180",0,0,0,0,0
"Gm49082",0,0,0,0,0
"Gm49081",0,0,0,0,0
"Gm41138",0,0,0,0,0
"Gm49083",0,1,0,0,1
"Ear1",0,1,1,0,1
"Ear-ps12",0,0,0,0,0
"Ang-ps2",0,0,0,0,0
"Ear-ps9",0,0,0,0,1
"Ear-ps8",0,0,0,0,0
"Ang-ps3",0,0,0,0,0
"Ear10",0,0,0,0,0
"Gm8113",0,0,4,1,0
"Gm9550",0,0,0,0,0
"Ang5",0,0,0,0,0
"Ear-ps7",0,0,0,0,0
"Gm49087",0,0,0,0,0
"Ear-ps10",0,0,0,0,0
"Ang6",0,0,0,0,0
"Gm8194",0,0,0,0,0
"Gm3287",0,0,0,0,0
"Ear-ps2",0,0,0,0,0
"Ang-ps1",0,0,0,0,0
"Gm49099",0,0,0,0,0
"Gm16545",0,0,0,0,0
"Gm49101",0,0,0,0,0
"Ear2",1,1,1,1,3
"Gm49102",0,0,0,0,0
"Gm49103",0,0,0,0,0
"Gm18216",0,0,0,0,0
"Gm3327",0,0,0,0,0
"Gm8207",0,0,0,0,0
"4930503E14Rik",0,0,0,0,0
"1700047E10Rik",0,0,1,0,0
"Gm8212",0,0,0,0,0
"Gm49104",0,0,0,0,0
"Gm32857",0,0,0,0,0
"Gm49110",0,0,0,0,0
"Gm6532",2,1,0,2,1
"Gm49111",0,0,0,0,0
"Gm8220",0,0,1,1,0
"Gm49109",0,0,0,0,0
"Gm8224",0,0,0,0,0
"Gm5930",0,0,0,0,0
"Gm8229",0,0,0,0,0
"Gm3370",0,0,0,0,0
"Gm3371",0,0,0,0,0
"Gm8232",0,0,0,0,0
"Gm49779",0,0,0,0,0
"Gm21991",0,0,0,0,0
"Gm17184",0,1,0,0,0
"BC061237",0,0,0,0,0
"Gm17093",0,0,0,0,0
"Gm17183",0,0,0,0,0
"AC160336.1",0,0,1,1,4
"Gm5624",0,0,0,0,0
"Gm8247",0,0,0,0,0
"Gm16439",0,0,0,0,0
"Gm8256",0,0,0,0,0
"Gm9593",0,0,0,0,0
"Gm8257",0,0,0,0,0
"Gm21754",0,0,0,0,0
"Gm6541",0,0,0,0,0
"Gm8267",1,0,0,0,0
"Gm34060",0,0,0,0,0
"Gm49142",0,0,0,0,0
"Gm17187",0,0,0,0,0
"Gm49143",0,0,0,0,0
"Gm17070",0,0,0,0,0
"Gm49145",0,1,0,0,0
"Gm34198",0,0,0,0,0
"Ptgdr",25,19,47,10,28
"Gm16976",0,1,0,1,4
"Gm18524",0,0,0,0,0
"Gm49148",0,0,0,0,0
"Gm49147",0,0,0,0,0
"Mir327",0,0,0,0,0
"4930431P03Rik",0,0,0,0,0
"Gm49364",0,0,0,0,0
"Gm17173",0,0,0,0,1
"Ptger2",9,12,9,8,11
"Gm49180",0,0,0,0,0
"Gm21010",0,0,0,0,0
"Gm49181",0,0,0,0,0
"Gm49183",0,0,0,0,0
"Gm49184",0,0,0,0,0
"Txndc16",1389,1928,2466,1387,1960
"Gm15765",0,0,0,1,0
"Gpr137c",500,718,867,487,627
"Gm49194",4,3,6,5,5
"Ero1l",588,716,949,465,738
"Psmc6",2002,2880,3120,1906,2641
"Styx",39,79,100,33,68
"Gnpnat1",18,21,38,22,28
"Gm25353",0,0,0,0,0
"Gm34250",0,0,0,0,0
"Fermt2",1294,1847,2128,1158,1742
"Gm22637",0,0,4,2,0
"9630050E16Rik",0,0,1,0,0
"4930527F14Rik",0,0,1,3,0
"Gm41144",0,0,0,0,0
"Gm5206",0,0,0,1,0
"Gm49123",0,2,0,0,1
"Gm15601",4,6,16,5,10
"Gm49124",0,3,6,1,7
"Ddhd1",784,1042,1233,648,981
"Gm49125",0,6,5,4,2
"Mir5131",0,0,0,0,0
"A530076I17Rik",6,3,1,0,4
"Gm7206",0,0,2,0,2
"Gm15516",1,0,0,0,0
"Gm15218",0,0,0,0,0
"Gm8317",0,1,1,0,0
"Gm15220",0,0,0,0,0
"Gm46475",0,0,0,0,0
"Gm49192",0,0,0,0,0
"Gm6580",0,4,1,1,3
"Gm37257",0,0,0,0,0
"Gm1821",79,95,114,92,118
"Gm15217",2,0,2,1,0
"Bmp4",72,117,138,65,92
"Gm15222",0,1,3,1,4
"Gm15221",0,0,0,0,0
"Gm48910",0,0,0,0,0
"Gm48911",0,0,0,0,0
"Gm34756",0,0,0,0,0
"Gm48912",0,0,0,0,0
"Gm49319",0,0,0,0,0
"E130120K24Rik",0,0,0,0,0
"Rubie",0,1,0,0,0
"4933425B07Rik",0,0,0,0,0
"Gm18761",0,0,0,0,0
"D330046F09Rik",0,0,0,0,0
"Gm48917",0,0,0,0,0
"Gm48924",0,0,0,0,0
"Cdkn3",3,8,6,2,3
"Cnih1",1365,1974,2047,1622,2094
"Gm48933",0,2,4,1,3
"Gm48939",0,0,2,0,0
"Gmfb",4925,7063,8718,4627,7674
"Gm10101",6,2,6,4,6
"Cgrrf1",229,390,435,295,379
"Gm48949",3,2,3,1,2
"Gm34934",11,26,35,21,21
"Samd4",378,488,626,378,460
"2810457G06Rik",4,2,2,2,1
"Gm48958",0,0,0,0,0
"Mir378c",0,0,0,0,0
"Gm15562",0,0,0,0,0
"Gm10371",0,0,1,0,0
"Gm49132",0,0,0,0,0
"Gch1",26,51,49,30,56
"Gm49134",0,0,0,0,0
"Gm18811",0,0,0,0,0
"Gm49136",0,0,0,0,0
"Gm49137",0,0,0,0,0
"Wdhd1",92,156,178,94,146
"Gm49149",0,0,0,0,0
"Gm24378",0,0,0,0,0
"Gm49150",0,0,0,0,0
"Socs4",350,544,667,256,427
"Gm9502",1,2,2,2,0
"Mapk1ip1l",526,811,1023,449,786
"Gm49189",0,1,0,0,0
"Gm49190",0,0,0,0,0
"Lgals3",6,88,59,37,47
"Dlgap5",8,12,6,7,8
"Gm8353",0,0,0,0,0
"Gm48975",0,0,0,0,0
"Fbxo34",1532,2326,2787,1737,2302
"Gm48986",0,0,0,0,1
"Gm35166",0,0,0,0,0
"Atg14",354,559,603,344,528
"Gm49004",0,0,0,0,0
"Gm6616",0,0,0,0,0
"Ktn1",1283,1895,2273,1172,1713
"4930538L07Rik",0,0,0,0,0
"Gm41148",0,0,0,0,0
"Gm49302",0,0,0,0,0
"Gm35360",0,0,0,2,0
"4930447J18Rik",0,0,0,0,0
"Gm49303",3,1,0,1,2
"Gm49304",0,0,0,0,0
"Gm49305",0,0,0,0,0
"Gm49306",1,1,1,1,2
"Gm6055",20,30,28,26,39
"Peli2",479,613,811,372,507
"9530086P17Rik",0,0,0,0,0
"Gm49310",0,0,0,0,0
"Gm49307",0,0,0,0,0
"Gm6498",0,0,0,0,0
"1700128I11Rik",0,0,0,0,0
"Gm23881",0,0,0,0,0
"Gm18962",0,0,0,0,0
"Gm3534",3,3,7,5,4
"Tmem260",306,475,619,359,538
"Gm49519",1,8,5,1,7
"Gm49096",2,2,2,2,6
"4930572G02Rik",2,2,0,1,1
"Gm49120",0,0,0,0,0
"Gm35766",0,0,0,0,0
"Gm49151",0,0,0,0,0
"Gm23469",0,0,0,0,0
"Otx2",34,523,614,321,380
"Otx2os1",1,21,21,7,4
"Gm49154",0,0,0,0,1
"Gm48909",0,0,0,0,2
"Gm25380",0,0,0,0,0
"Gm49153",0,1,0,0,0
"Gm49156",0,0,0,0,0
"Gm22699",0,0,0,0,0
"Gm49152",0,0,0,1,0
"Gm46453",0,0,0,0,0
"Gm49155",0,1,2,0,0
"Gm534",1,27,13,7,16
"4933429O19Rik",0,26,36,11,9
"Gm23470",0,0,1,0,0
"Exoc5",1214,1717,2002,1082,1716
"Gm49204",0,8,7,4,4
"Ap5m1",432,613,769,371,607
"Rpl19-ps3",4,8,8,28,29
"Naa30",896,1401,1498,811,1290
"Gm48935",0,0,1,0,1
"ccdc198",0,0,1,0,0
"Gm48936",1,0,1,1,1
"Slc35f4",193,299,355,206,263
"Gm48940",0,0,0,0,1
"Gm22116",0,0,0,0,0
"Gm22949",0,0,0,0,0
"Armh4",574,789,1055,575,851
"Gm16082",2,2,1,2,0
"Gm36146",1,0,1,0,0
"Gm48950",0,3,1,2,1
"Gm48948",0,0,0,0,1
"Gm22989",0,0,0,0,0
