"","Veh1","Veh2","STZ1","STZ2","STZ3"
"Gm7928",0,0,0,1,0
"Gm5421",12,12,16,16,8
"Gm26890",640,639,682,692,608
"1500012K07Rik",8,6,9,5,9
"Gm2694",87,93,167,172,101
"Gm26889",0,3,1,6,2
"Gm26771",19,15,10,15,21
"5033417F24Rik",226,255,307,301,228
"Gm6634",4,5,6,6,7
"Gm26770",10,20,8,10,15
"C430042M11Rik",9,4,9,12,5
"Rpl31-ps7",0,0,0,0,0
"Gm26769",0,1,0,0,0
"Gm26768",0,0,2,0,0
"Gm26767",0,0,2,0,0
"Gm26766",9,6,11,14,8
"Gm5706",0,0,0,0,0
"4930532G15Rik",23,35,33,38,33
"4933416M07Rik",0,0,0,1,0
"Gm26804",0,0,0,0,0
"Rpl31-ps24",0,0,0,0,0
"Gm26803",45,52,48,44,48
"Gm26802",0,0,0,0,0
"1700109K24Rik",0,0,0,1,0
"Gm26805",232,214,311,205,238
"Gm9903",73,84,84,67,74
"Gm26649",2,0,0,0,2
"Gm26564",220,192,159,209,154
"Gm26648",59,97,4,7,6
"4930525G20Rik",215,158,200,174,164
"2900076A07Rik",659,643,734,701,607
"Gm26650",0,0,0,0,0
"Gm5106",8,13,16,19,17
"AI849053",69,53,69,78,52
"Gm26685",12,14,5,0,3
"5031415H12Rik",3,1,2,1,2
"Gm26686",0,0,2,1,2
"4930480K23Rik",385,333,399,392,402
"Gm26683",0,1,0,0,0
"Gm26684",56,74,11,19,10
"D130017N08Rik",1305,1052,1336,1310,1212
"Gm2155",33,39,34,32,27
"2010300F17Rik",5,2,2,1,0
"1300002E11Rik",916,912,962,968,912
"Gm18828",0,0,0,0,0
"A230107N01Rik",222,231,236,236,219
"D630002J18Rik",0,0,4,0,6
"Gm26888",0,0,0,0,0
"Hmgb1-ps8",10,12,11,8,51
"Gm26532",39,56,39,61,37
"A130057D12Rik",2,2,1,3,0
"Gm26654",0,4,0,0,0
"Gm26835",7,5,2,2,5
"AW121686",118,116,113,85,82
"1700034B16Rik",0,0,0,0,0
"3110083C13Rik",60,50,64,48,59
"Rpl31-ps15",0,0,1,0,1
"Gm17276",50,80,90,85,66
"Gm26834",15,19,9,18,19
"Gm6410",1,6,4,0,8
"Gm17249",76,51,71,82,85
"A930038B10Rik",0,0,6,0,5
"Gm26871",5140,4705,6950,5584,6396
"Gm26870",1,4,2,10,93
"Gm26569",3,6,2,0,6
"Gm26567",0,0,0,0,0
"Gm26568",0,0,0,0,0
"Gm10516",497,440,445,427,518
"Gm17281",8,14,8,28,16
"1700007L15Rik",55,38,56,49,32
"Tmem147os",632,633,741,648,610
"1700028E10Rik",56,85,74,51,52
"A530083I20Rik",75,61,102,103,87
"4930426I24Rik",63,78,74,81,75
"Mir143hg",94,137,105,141,57
"Gm16897",50,70,58,44,39
"A330048O09Rik",102,127,139,78,100
"E030030I06Rik",10,15,11,1,12
"Tnfsf12",124,154,123,170,160
"4931403G20Rik",0,0,2,0,0
"Gm26672",226,200,267,229,191
"F420014N23Rik",69,75,56,66,58
"2610020F03Rik",0,0,0,0,0
"Zfp87",1476,1462,1436,1374,1470
"2700012I20Rik",11,28,23,16,18
"Gm26563",2,7,8,3,1
"Fendrr",42,38,40,54,13
"Gm26606",486,431,522,434,420
"Gm2464",5,0,5,4,0
"Gm26671",22,38,28,11,30
"Gm26617",3,1,0,0,2
"Gm26618",87,91,93,116,142
"9030407P20Rik",338,404,380,377,350
"Gm26732",20,35,29,30,47
"AA543186",57,45,35,47,50
"Gm26619",12,18,13,23,23
"Gm17275",1,3,2,4,2
"Rmst",1328,1292,1308,1444,1067
"Gm26731",0,0,0,0,0
"4732491K20Rik",337,317,423,347,307
"C920009B18Rik",0,10,4,11,40
"A430046D13Rik",1009,932,1132,1168,870
"2310001H17Rik",32,56,39,31,54
"Gm26662",0,0,0,0,0
"Gm26774",8,2,2,2,4
"Gm16793",52,42,49,58,50
"Gm26773",0,0,0,2,0
"9430065F17Rik",106,92,94,97,100
"4930550C17Rik",0,0,0,0,0
"Gm26544",0,0,4,0,0
"Gm26717",0,0,0,0,0
"Gm26719",0,1,0,0,0
"C030034L19Rik",22,15,18,20,28
"Gm8177",10,14,20,7,8
"Gm26718",33,28,21,34,32
"Gm10390",2,2,0,2,0
"Gm26545",0,0,0,0,0
"4930467K11Rik",1,2,6,5,0
"Gm26875",0,0,0,0,0
"Gm26876",38,42,50,37,59
"Gm26877",3,0,0,0,5
"Gm26874",0,0,0,1,0
"6720427I07Rik",1498,1409,1500,1599,1777
"Gm8705",4,8,14,5,5
"Gm10822",51,58,55,50,49
"B230208H11Rik",17,25,9,13,6
"Gm26873",7,6,7,4,9
"Gm26816",0,0,0,1,2
"A230087F16Rik",48,59,71,82,49
"Gm26817",0,0,0,0,0
"1500026H17Rik",168,172,239,163,173
"Gm26815",0,2,0,0,0
"Gm26814",636,557,648,698,639
"9130213A22Rik",64,89,68,79,64
"4930563E18Rik",20,19,13,16,9
"Gm3200",21,8,9,11,20
"Gm26785",0,0,0,0,0
"Mirg",4897,4605,5532,4718,4604
"D930016D06Rik",2005,1938,2099,2171,2035
"D030068K23Rik",47,32,53,35,46
"Gm26556",77,77,83,84,78
"Gm16861",69,66,65,54,56
"2410088K16Rik",0,2,0,2,0
"Gm26555",47,47,55,43,60
"Gm26744",19,29,43,22,30
"Gm17399",45,39,62,33,54
"9230116N13Rik",39,48,88,49,54
"Gm10814",91,88,102,81,74
"D630044L22Rik",12,21,10,10,5
"Gm26833",3,10,9,10,8
"4933408J17Rik",7,10,8,3,11
"Gm26831",16,9,21,18,1
"Gm26832",0,0,0,0,0
"Gm26668",6,3,1,7,2
"B430218F22Rik",15,13,16,24,19
"1810014B01Rik",186,164,190,201,165
"A830052D11Rik",51,62,95,83,46
"B130046B21Rik",260,227,266,238,230
"AU020206",64,81,77,96,246
"Gm26670",38,38,65,34,36
"Gm26669",0,2,0,0,6
"Gm26667",3,4,4,2,6
"Gm26666",41,19,41,35,23
"Gm17575",0,0,0,0,0
"D630011A20Rik",0,0,0,0,0
"Gm26521",86,108,145,117,92
"Gm26522",2,2,0,0,0
"1700030M09Rik",1,0,1,0,0
"Vmn1r181",0,0,0,0,0
"Gm8941",0,0,0,0,0
"Gm6763",0,0,0,0,0
"AW047730",1453,1334,1468,1407,1352
"Gm26520",34,64,46,28,44
"Gm10544",21,25,21,18,25
"Gm26782",1005,1026,1042,1289,939
"Gm26781",22,23,34,39,23
"Gm16630",40,42,67,58,50
"Gm26783",6,10,17,20,14
"Lim2",0,0,0,0,0
"Gm26784",1,0,0,0,2
"Gm16754",8,9,8,10,13
"Gm6277",189,199,260,236,190
"Gm26633",39,32,31,72,26
"Gm26632",0,0,0,0,0
"Gm17529",0,1,0,0,0
"Gm10489",25,20,35,28,15
"Gm26631",27,47,44,43,36
"Gm26629",0,0,1,0,0
"Gm26630",0,0,0,0,0
"Gm16880",22,34,4,5,13
"Gm26893",0,0,0,0,0
"Rian",63477,55303,76113,64248,61399
"Gm2824",1160,1032,1720,1316,1277
"Gm26894",17,29,36,29,27
"Gm26892",7,16,33,32,22
"Gm26891",9,19,27,22,15
"Gm16958",46,48,25,41,45
"2310031A07Rik",0,0,0,0,1
"Gm26697",6,8,5,9,5
"Gm26895",22,21,28,19,12
"Gm26734",56,73,58,59,61
"Gm26735",16,34,27,25,36
"9530026P05Rik",462,461,535,375,514
"4930448E22Rik",11,7,11,11,8
"Gm26736",242,198,216,202,232
"Gm16619",1,2,1,0,1
"D430036J16Rik",285,309,452,377,269
"Gm26737",31,17,30,24,25
"2310010G23Rik",39,59,58,67,39
"Gm26733",0,0,0,0,2
"Gm26587",0,0,0,0,2
"5830432E09Rik",15,9,17,27,46
"Gm26586",19,24,27,21,13
"Gm26585",0,0,1,0,1
"Gm26584",0,0,1,1,0
"Gm26583",37,38,47,33,22
"Gm26582",85,88,94,94,110
"Gm9499",0,0,0,0,0
"D330020A13Rik",0,1,6,2,1
"Gm17634",6,20,18,10,4
"Gm26806",0,0,0,0,0
"Gm26807",0,0,0,0,2
"Gm17733",15,27,42,40,33
"Ptges3l",27,28,34,34,19
"4732487G21Rik",0,2,0,0,2
"Gm26808",14,8,9,9,7
"Gm2366",4,0,4,0,0
"9930014A18Rik",353,528,411,436,379
"4933406C10Rik",158,165,238,202,156
"Gm26651",2,19,0,0,0
"Gm26653",68,54,98,82,65
"Gm26652",585,558,645,611,624
"Gm26537",0,2,1,0,0
"Gm26536",6,4,4,3,2
"4930528D03Rik",1,6,11,8,3
"3110045C21Rik",43,37,42,37,31
"4930516B21Rik",4,2,2,5,0
"Gm26540",2,0,2,0,0
"Gm26538",0,1,0,3,0
"B230322F03Rik",132,125,147,126,104
"Gm16677",0,0,0,0,0
"Gm26696",33,51,43,23,27
"Gm17619",4,0,4,6,2
"1700040D17Rik",129,85,92,95,95
"4930467D21Rik",53,23,47,23,45
"Gm26695",11,47,47,31,20
"Gm26694",8,7,12,8,8
"4930558J18Rik",6,10,2,4,5
"Gm26843",319,281,272,301,289
"Gm26844",0,0,2,0,1
"1700022N22Rik",8,5,7,9,3
"Gm26846",10,4,10,2,4
"Gm26845",7,6,8,5,2
"Gm26847",14,33,33,17,26
"1700112J16Rik",62,62,70,79,63
"Rp31-ps19",0,0,0,0,0
"Kansl2-ps",49,39,38,48,64
"Gm4349",18,35,58,43,32
"Gm26590",12,16,16,13,17
"Gm16675",29,19,30,25,28
"Gm26592",33,39,35,42,46
"2610037D02Rik",1171,1152,1211,1247,1152
"2610020C07Rik",89,132,94,119,113
"Gm26939",0,0,0,0,0
"4930477E14Rik",0,0,0,0,0
"1700037F24Rik",0,0,0,0,0
"Gm26752",12,7,8,7,7
"Gm26751",2,0,2,0,0
"Gm805",0,2,3,0,3
"Gm26750",0,0,0,2,0
"A930011O12Rik",14569,12576,14230,14192,14289
"Gm26749",0,2,0,2,0
"B230110C06Rik",82,56,93,92,85
"Gm26748",17,45,31,22,28
"Gm21304",0,0,0,0,0
"Gm7976",0,0,0,0,0
"Rps19-ps12",0,0,0,0,0
"4930455D15Rik",7,5,8,5,2
"Gm26825",2,1,0,0,0
"C130060C02Rik",90,73,107,97,95
"Gm26902",67,83,100,106,73
"D430018E03Rik",193,209,193,220,156
"Gm26904",0,0,0,0,0
"4632411P08Rik",54,48,68,77,62
"Gm26639",0,0,0,0,0
"Gm26638",252,218,298,339,277
"C430014B12Rik",34,27,28,17,32
"Gm26965",0,0,0,0,0
"A930024N18Rik",317,316,372,338,421
"Gm26637",12,15,21,5,29
"Gm26640",0,2,0,0,0
"Jpx",658,701,735,699,645
"Gm26797",52,70,50,56,47
"G730003C15Rik",152,106,136,102,116
"C920006O11Rik",148,188,270,191,179
"Gm26796",14,5,6,10,2
"D930030I03Rik",20,30,22,16,25
"6230400D17Rik",90,100,111,97,84
"Gm26798",8,4,6,2,2
"Gm26799",26,27,31,25,33
"Gm5432",18,16,24,11,15
"Gm21936",0,0,1,0,0
"Gm26527",2,2,2,0,0
"6430590A07Rik",582,509,595,547,517
"1700125G22Rik",3,8,10,3,5
"Gm26529",77,111,87,105,66
"Gm26528",2,3,3,0,4
"4930578M01Rik",219,228,258,240,205
"Dleu2",3548,3233,3620,3800,3328
"Gm26675",96,99,129,110,97
"A330032B11Rik",13,13,18,22,11
"4930500F10Rik",85,81,111,77,62
"Gm26676",66,27,46,36,35
"Gm2907",0,0,0,0,0
"1500002F19Rik",49,41,41,45,59
"Gm26673",170,115,76,183,54
"Gm26674",3,2,2,13,2
"Gm26677",1,1,3,0,1
"Gm26678",0,0,0,0,0
"Gm26660",247,238,304,261,196
"4930519P11Rik",3,9,10,6,2
"A430010J10Rik",46,41,53,58,58
"Gm17322",303,308,286,383,333
"9430098F02Rik",0,2,0,4,2
"Gm7952",0,0,0,0,1
"Gm26659",2,0,4,0,0
"A930012L18Rik",176,220,150,226,168
"Gm26509",36,19,25,26,18
"Gm17597",117,80,91,99,100
"Gm26508",3,0,0,0,0
"Gm2061",277,282,269,298,253
"1110019D14Rik",263,217,273,218,258
"Gm10687",25,46,48,26,37
"Gm26507",88,60,113,102,91
"4833422M21Rik",104,75,110,103,77
"4921514A10Rik",1,0,0,0,2
"Gm26562",1,0,0,0,0
"A330033J07Rik",40,46,47,76,57
"B230323A14Rik",0,0,0,2,3
"Gm5091",0,0,0,0,0
"Gm26561",1,0,3,5,0
"4921504A21Rik",458,371,382,370,386
"4930519A11Rik",0,0,0,0,0
"Gm2383",0,0,0,0,4
"Gm26828",0,0,0,0,0
"Gm2716",4,11,7,0,4
"4930552P12Rik",6,0,6,2,0
"Gm16617",6,4,3,4,3
"Gm26827",0,0,0,0,2
"Gm26826",87,56,83,66,79
"5830416P10Rik",642,618,798,471,595
"4933417D19Rik",16,16,17,23,13
"Carlr",37,39,32,34,40
"C430002E04Rik",0,0,0,0,2
"Gm20033",45,54,55,43,59
"Gm26865",0,2,6,0,2
"Gm26866",0,0,2,0,0
"A130051J06Rik",22,12,36,16,24
"Gm26862",7,6,10,6,6
"Gm26863",2,9,7,2,5
"Gm26864",0,0,0,0,0
"9330185C12Rik",13,43,33,36,19
"Gm10561",474,592,624,396,580
"4921507G05Rik",3,7,4,6,7
"4930461G14Rik",4,5,0,0,0
"Mhrt",2,0,2,0,0
"Gm16387",0,0,0,0,0
"Gm26714",8,11,7,15,29
"Gm26713",0,0,0,0,0
"Gm26712",0,0,0,0,0
"Gm7389",10,25,13,16,14
"Gm16755",0,1,0,2,0
"Gm26715",0,0,0,0,0
"Gm26762",2,7,5,2,2
"Gm26763",0,0,0,0,0
"Gm2093",6,6,8,9,10
"Gm26765",0,0,0,0,0
"Gm16853",17,21,28,15,16
"A330094K24Rik",15,27,11,9,3
"Gm26764",0,2,2,0,2
"Gm26761",12,15,18,5,9
"Gm8649",0,1,1,0,0
"Gm26607",0,0,0,0,0
"1700015O11Rik",0,0,1,1,0
"Gm26609",0,0,0,0,0
"Gm26608",22,20,39,10,20
"Gm26610",18,9,19,9,19
"1700101I11Rik",58,60,70,71,61
"Gm26612",1,0,2,4,0
"Gm26611",0,0,0,0,0
"Rps19-ps5",2,0,0,0,0
"Gm26642",1,1,2,3,0
"Gm26643",2,0,0,0,2
"4930554H23Rik",2,5,10,4,5
"Gm26644",99,106,106,88,104
"Gm26645",59,60,46,59,41
"Gm26646",0,0,0,0,0
"Gm26647",0,0,2,0,0
"4930471D02Rik",0,0,0,0,0
"4930505N22Rik",3,8,16,11,9
"9030616G12Rik",0,0,0,0,0
"A230060F14Rik",24,20,25,26,16
"4930471M09Rik",7,18,20,16,28
"G730013B05Rik",4,8,6,10,9
"Gm26905",2,0,4,2,4
"4833412C05Rik",7,8,10,11,9
"Gm26906",1,2,1,0,5
"5430400D12Rik",171,196,202,184,125
"Gm26738",0,2,0,0,0
"Gm17508",1,2,0,0,2
"Gm26739",5,5,9,0,9
"Gm26623",0,0,0,0,0
"Gm26741",0,0,0,0,0
"Gm26740",15,21,22,18,85
"E030037K01Rik",34,20,22,38,30
"Gm26742",5,6,4,4,8
"2810429I04Rik",280,219,334,268,223
"2310026I22Rik",19,34,34,23,11
"Gm5523",2,2,0,0,2
"Gm10532",4,5,8,2,4
"Gm7741",20,6,13,20,14
"Gm20109",11,15,33,13,15
"Gpr137b-ps",684,689,753,618,896
"1700026J14Rik",37,33,32,33,32
"1700066J03Rik",1,1,1,3,2
"Gm26896",0,0,0,0,0
"Rpl31-ps18",0,0,0,0,0
"Gm26849",5,7,2,0,0
"Gm26841",0,3,5,4,7
"Gm26848",0,2,2,0,0
"Gm26850",30,35,19,28,19
"4930593A02Rik",19,12,17,4,5
"9530036O11Rik",30,50,63,67,29
"F630040K05Rik",66,73,61,68,55
"Gm26840",124,123,159,113,116
"2310015A10Rik",759,900,801,745,678
"Gm26588",180,130,186,175,194
"2700016F22Rik",88,76,63,70,72
"D930048G16Rik",213,203,280,283,194
"B930082K07Rik",80,63,81,79,57
"D930032P07Rik",0,2,2,0,1
"9530059O14Rik",4801,3426,3911,4259,5007
"Gm26530",0,0,0,0,0
"4930445N18Rik",3,8,12,3,0
"Gm2539",0,0,0,0,0
"E030044B06Rik",11,2,6,4,6
"Gm26535",1,0,1,0,0
"Gm16973",517,518,553,569,569
"D030040B21Rik",7,5,0,1,2
"AI115009",310,284,284,234,258
"Gm6225",46,59,64,50,41
"Gm26534",109,97,124,110,107
"Gm26533",39,33,40,36,29
"Gm16938",229,238,336,299,275
"Gm4673",722,728,794,754,710
"Gm26690",7,11,6,9,10
"Gm26688",0,4,4,0,0
"Gm26689",0,0,0,0,0
"Ptgs2os2",7,22,22,21,16
"2010110K18Rik",0,0,0,2,2
"A730056A06Rik",237,197,238,219,205
"Gm17518",45,83,90,53,70
"Gm26753",24,22,17,23,30
"6030442K20Rik",195,160,185,165,195
"4930534D22Rik",37,39,57,48,54
"4732463B04Rik",214,156,198,196,224
"Gm26636",0,1,2,6,0
"Gm26635",22,11,21,11,8
"5730420D15Rik",4,16,9,13,11
"Miat",34368,31517,40793,36748,31920
"2310043M15Rik",0,0,0,0,2
"Snhg4",538,554,574,591,528
"Gm26776",7,6,8,11,10
"5430416N02Rik",757,826,742,751,773
"Gm10614",21,43,41,25,22
"Gm26565",0,0,2,4,0
"4931440J10Rik",60,73,57,58,55
"Gm26795",2,0,2,8,0
"Gm16794",260,298,333,272,317
"4833407H14Rik",2,6,3,3,8
"Gm26746",0,0,0,0,0
"9330136K24Rik",171,97,160,107,143
"Gm26747",26,36,22,34,15
"A430105J06Rik",62,56,95,55,54
"B230217O12Rik",425,434,528,482,406
"4933429H19Rik",6,13,16,12,6
"2700046G09Rik",287,339,297,272,279
"Gm16596",50,51,50,48,44
"Gm2115",5224,4093,4903,3973,4847
"Gm16399",1,0,0,2,2
"Gm17315",14,14,23,31,16
"Gm27042",10,4,6,11,16
"Gm17259",143,180,210,146,167
"Gm2990",0,0,0,0,0
"Gm7678",0,0,0,0,0
"Gm16702",287,340,424,268,313
"Gm26901",235,233,315,284,234
"Gm26898",1,1,10,1,2
"Gm26899",15,16,8,6,8
"B230344G16Rik",17,34,27,24,20
"Gm26777",446,450,449,462,447
"Rpl31-ps16",2,0,2,2,2
"Gm16685",8,7,9,11,12
"Gm17473",8,12,37,43,29
"Gm6556",79,71,66,93,93
"Gm26553",0,0,0,0,0
"Gm26554",0,0,0,1,0
"G730046D07Rik",0,2,0,0,0
"2810425M01Rik",14,9,8,17,11
"Gm26812",2,1,2,0,1
"Panct2",348,273,455,369,390
"Gm26809",1,3,2,4,2
"Gm26811",1,2,2,0,1
"Gm26810",4,2,8,2,7
"Gm26681",0,0,0,0,0
"Gm26813",5,1,4,0,0
"E530011L22Rik",616,738,630,642,599
"C130032M10Rik",0,0,0,0,0
"Gm26655",0,0,0,0,0
"Gm16701",526,454,563,488,501
"Gm26593",0,1,3,4,1
"9630001P10Rik",156,230,246,215,208
"5330439K02Rik",159,165,182,197,180
"6430562O15Rik",3,11,0,4,0
"4930540M05Rik",16,11,14,8,14
"Gm26912",8,8,6,5,8
"Gm5976",0,0,1,0,2
"Gm26911",4,15,15,8,12
"Gm26910",255,238,265,245,251
"Gm26903",3,2,4,3,1
"Gm26794",563,430,552,448,523
"C530050E15Rik",269,352,426,310,301
"Gm26909",0,0,4,2,0
"Gm26756",25,20,28,28,26
"4930511A02Rik",5,8,3,2,3
"9330104G04Rik",156,176,223,208,182
"Gm26755",8,7,8,5,8
"A230020J21Rik",4,5,5,1,0
"4930478K11Rik",10,7,9,8,1
"Gm807",6,19,16,18,8
"Gm26754",0,0,0,0,0
"4631405K08Rik",0,0,0,0,0
"Gm17580",0,0,0,0,0
"4933405D12Rik",7,11,12,6,7
"Gm3532",0,0,0,0,0
"Gm26602",0,1,3,0,0
"A930007I19Rik",196,172,190,187,186
"Gm26603",2,0,0,0,0
"9530052C20Rik",38,66,72,62,33
"Gm26601",945,914,1148,1125,999
"Gm26857",0,1,7,5,5
"Gm26858",1,2,0,0,1
"Gm26859",6,1,4,1,3
"1010001B22Rik",14,17,21,8,16
"Gm26856",0,0,0,0,0
"1110054M08Rik",164,160,200,207,191
"A330069E16Rik",37,46,47,34,46
"C230021G24Rik",102,115,174,87,145
"Gm26868",0,2,0,0,2
"B230104I21Rik",18,28,23,32,20
"Gm26702",10,18,4,14,2
"Gm26867",0,0,0,2,0
"C030010L15Rik",8,10,4,15,4
"Gm26704",19,42,20,25,16
"Gm16892",31,22,37,27,37
"Gm26703",245,283,351,368,289
"Gm8764",0,0,0,0,0
"Gm26869",10,3,18,19,10
"Celrr",351,347,362,394,366
"0610038B21Rik",6,23,19,21,10
"Gm8357",0,0,0,0,0
"Gm26543",616,495,630,569,628
"5031434O11Rik",683,635,747,636,633
"Gm12302",2,1,0,0,1
"Gm26542",46,32,55,33,36
"Gm26682",28,33,36,52,28
"Gm26541",0,2,0,0,2
"4930547M16Rik",54,51,79,56,63
"Gm3650",0,0,0,0,2
"Gm26801",89,60,60,50,75
"1700034P13Rik",10,4,5,5,13
"Gm18709",0,0,0,1,0
"Gm26800",0,0,1,0,0
"Rpl31-ps25",0,0,0,0,0
"4930455B14Rik",0,0,3,0,2
"Gm16894",190,179,245,213,166
"Gm8652",0,2,3,0,1
"Gm26680",0,0,0,0,0
"Gm26531",0,0,0,0,0
"Gm26679",62,100,109,82,85
"Gm26711",4,17,19,6,4
"Gm9625",54,85,52,51,71
"Raxos1",0,0,0,0,1
"4933404O12Rik",885,882,1169,920,966
"5033428I22Rik",0,0,0,0,0
"Gm26691",266,272,325,381,279
"6330403N20Rik",19,13,30,23,20
"Gm26837",0,0,0,0,0
"Gm26838",0,0,2,0,0
"A330009N23Rik",354,382,351,333,375
"Gm26839",22,29,19,18,13
"Ascl5",4,7,4,12,5
"Gm27021",0,0,0,0,0
"Gm7784",0,0,0,0,0
"Gm26576",10,2,5,6,6
"4930448N21Rik",171,137,168,154,138
"Gm26577",29,33,27,22,17
"A730020E08Rik",342,250,368,259,271
"Gm26574",2,0,0,0,0
"Gm26575",189,170,235,239,175
"Gm6999",65,62,67,41,68
"Gm26578",24,17,33,15,16
"Tunar",1157,1062,1079,932,1037
"C330002G04Rik",4,1,7,6,0
"Gm11392",0,0,0,0,0
"C430039J16Rik",0,0,0,0,0
"1700039M10Rik",5,9,9,15,8
"6720483E21Rik",18,33,35,30,51
"Gm3809",0,3,4,0,4
"Gm4819",0,0,0,0,0
"Gm6967",0,0,0,0,0
"Gm26933",0,0,0,0,0
"Gm8601",0,0,0,0,0
"Gm21392",0,0,0,0,0
"Gm8984",0,0,0,0,0
"Gm26968",4,7,7,5,7
"Gm7833",0,0,0,0,0
"A130014A01Rik",250,256,267,264,226
"Gm17799",0,0,0,0,0
"Gm8343",0,0,2,0,0
"Gm26970",0,0,0,0,0
"Gm21430",0,0,0,0,0
"Gm5354",0,2,2,0,1
"Gm17800",1,5,11,11,5
"Gm7611",0,0,0,0,0
"Gm4398",0,0,0,0,0
"Gm26952",0,0,0,0,0
"Gm4217",2,0,0,0,1
"Gm26950",0,0,0,0,0
"Gm26951",0,0,0,0,0
"Gm8993",0,0,0,0,0
"Gm8492",6,2,2,2,3
"Gm6931",0,2,0,0,0
"A330074K22Rik",286,331,366,377,325
"Gm27000",194,213,224,227,179
"1700034G24Rik",0,0,0,0,0
"Gm27001",7,2,2,4,1
"Gm21045",0,0,0,0,0
"Gm5839",0,0,0,0,0
"Gm9423",0,0,0,0,0
"Gm27002",66,53,58,54,48
"Tpi-rs2",0,0,0,0,0
"Gm26999",0,0,3,2,0
"Gm27028",80,84,63,89,96
"Gm26917",962753,1094049,1188063,1157520,1198076
"Scgb2b15",0,0,0,0,0
"Gm4929",0,0,0,0,0
"Gm10605",484,483,569,401,652
"Gm8079",0,2,4,2,2
"Gm26918",1,2,1,0,1
"Gm5652",2,0,5,6,0
"Gm4691",16,12,7,18,10
"Gm26972",0,0,0,0,0
"Gm7583",0,6,2,0,1
"Scgb2b12",0,0,0,0,0
"Gm26971",59,52,87,69,74
"Gm8167",4,0,0,0,0
"Gm5274",0,0,0,0,0
"Gm26953",0,0,2,2,2
"Gm17786",4,0,0,0,2
"Gm10535",0,0,2,4,2
"Gm4335",13,13,5,18,14
"Gm19557",2,0,5,0,5
"Gm7656",61,44,58,20,45
"Gm27016",0,2,0,0,0
"Ptprv",10,14,31,32,36
"Gm26982",517,555,522,629,536
"Gm24362",17,18,10,18,4
"Gm5313",0,0,0,0,0
"Gm27017",3,14,7,4,10
"Gm27019",114,93,102,137,119
"Gm9061",0,2,0,0,0
"Gm27026",0,0,0,0,0
"Gm27048",2,2,0,2,2
"Gm9658",6,1,5,2,11
"Gm6317",0,0,1,0,0
"Gm27027",1,1,2,4,3
"Gm6114",0,0,0,0,0
"Gm8565",1,0,4,4,5
"Gm8614",8,9,8,5,3
"A930001A20Rik",16,5,11,12,8
"Gm5597",3,4,9,8,7
"Gm21542",0,0,0,0,0
"Gm21232",0,0,0,0,0
"Gm8907",0,0,0,0,0
"Gm9135",0,0,0,0,0
"Gm26967",2,2,0,0,0
"Gm6600",0,0,0,0,0
"Gm9211",0,0,3,1,1
"Gm5342",0,0,0,0,0
"Gm2546",18,13,7,11,11
"Gm9522",13,8,9,40,7
"Zfp82",93,117,91,93,110
"Gm19200",3,4,3,0,2
"Gm27003",140,122,134,145,131
"Gm27013",0,0,0,0,0
"Gm27014",0,0,0,0,0
"Gm27004",89,85,116,101,101
"Gm8824",0,0,2,0,0
"Gm7745",18,12,22,22,19
"Gm6771",0,0,0,0,0
"Gm9341",14,6,17,8,17
"Gm9381",0,0,0,0,0
"Gm5335",0,0,0,0,0
"Gm8955",0,0,0,0,0
"Gm7765",0,0,0,0,0
"Gm8793",0,1,0,2,0
"Gm26925",0,0,0,0,0
"Gm20757",1,2,1,2,5
"Gm26981",0,1,0,0,0
"Gm5710",0,0,0,0,0
"Gm26980",0,0,0,0,0
"Gm9162",0,0,0,0,0
"Gm26979",0,0,0,0,0
"Gm8254",0,0,0,0,1
"Gm18822",7,7,19,12,11
"Gm8330",2,2,0,0,0
"Gm5345",47,64,66,47,57
"Gm27032",668,676,668,702,637
"Gm5300",0,0,0,1,0
"Gm27033",0,0,0,0,0
"Gm8192",0,0,0,0,0
"Gm26947",19,23,34,32,25
"Gm8100",4,9,5,8,0
"Gm6283",16,1,9,18,15
"Gm8529",0,0,0,1,0
"Gm27034",0,0,0,0,0
"Gm4842",0,0,0,0,0
"Gm26945",2745,1877,2476,2583,2802
"Gm26931",1,0,0,0,0
"Gm9192",2,0,0,1,0
"Gm5177",2,5,4,0,2
"Gm26944",455,391,472,437,443
"Gm26943",0,0,0,2,1
"Gm7909",79,57,89,86,107
"Gm26942",1,1,0,3,2
"Gm8609",0,0,0,0,2
"Gm26996",0,0,0,0,0
"Gm26995",15,16,7,6,15
"Gm8048",0,0,0,0,0
"Gm26993",0,0,0,0,0
"Gm26994",7,3,18,15,9
"Gm6981",48,33,56,33,50
"Gm4960",0,0,0,0,0
"Gm26992",0,0,0,0,0
"Gm6773",2,0,0,0,0
"Gm5732",0,0,0,0,0
"Gm26913",4,15,9,19,8
"Gm20574",0,0,0,0,0
"Gm8957",2,2,0,0,0
"Gm26914",0,0,0,0,0
"Gm8919",0,0,0,0,0
"1700120C18Rik",0,0,0,0,0
"Gm17750",187,165,112,105,155
"Gm26916",0,0,0,0,0
"Gm26915",0,0,0,0,3
"2700099C18Rik",46,31,27,42,42
"Gm16470",0,4,11,5,4
"Gm2076",0,3,3,0,0
"Gm8707",140,109,176,156,140
"Scgb2b17",0,0,0,0,0
"Gm9274",0,0,0,2,2
"Gm26969",2,0,0,0,0
"6530403H02Rik",529,513,887,485,670
"Gm20748",44,43,28,21,28
"Gm7456",0,0,0,0,0
